id,condominio_id,numero,nombre,responsable,rut,contacto,created_at,deuda_historica
"3c71cafd-d957-424e-a954-bf17b9e24657","2783a53c-d84a-4cb0-b17a-999943a335f5","11","Parcela 11","","","","2026-08-13T23:12:59.330882+00:00","613125"
"6a8e8890-e26a-43ad-94b3-efe7796f505b","2783a53c-d84a-4cb0-b17a-999943a335f5","13","Parcela 13","","","","2026-08-13T23:12:59.330882+00:00","1230000"
"7c38575d-ab38-4bfb-a2fa-5649079245c0","2783a53c-d84a-4cb0-b17a-999943a335f5","15","Parcela 15","","","","2026-08-13T23:12:59.330882+00:00","30000"
"5e3734bb-ea2b-4776-ab37-470327398002","2783a53c-d84a-4cb0-b17a-999943a335f5","16","Parcela 16","","","","2026-08-13T23:12:59.330882+00:00","300000"
"af2265eb-0485-4488-93ee-faeba35bee35","2783a53c-d84a-4cb0-b17a-999943a335f5","17","Parcela 17","","","","2026-08-13T23:12:59.330882+00:00","30000"
"d398b60c-2aa0-4e3f-9913-f5b9f767b37c","2783a53c-d84a-4cb0-b17a-999943a335f5","31","Parcela 31","","","","2026-08-13T23:12:59.330882+00:00","0"
"b935a24e-d570-42c8-a979-b5b80a7445f3","2783a53c-d84a-4cb0-b17a-999943a335f5","20","Parcela 20","","","","2026-08-13T23:12:59.330882+00:00","600000"
"7b39e3be-d05d-419d-9d50-bb6ca3038a63","2783a53c-d84a-4cb0-b17a-999943a335f5","21","Parcela 21","","","","2026-08-13T23:12:59.330882+00:00","300000"
"f4930060-14c2-405e-b572-7bff5a4056d2","2783a53c-d84a-4cb0-b17a-999943a335f5","22","Parcela 22","","","","2026-08-13T23:12:59.330882+00:00","1230000"
"0807a17c-688f-4dba-86ea-3660a9086506","2783a53c-d84a-4cb0-b17a-999943a335f5","23","Parcela 23","","","","2026-08-13T23:12:59.330882+00:00","30000"
"4fd9eb76-7b0d-4e08-a420-9c9d25554f23","2783a53c-d84a-4cb0-b17a-999943a335f5","24","Parcela 24","","","","2026-08-13T23:12:59.330882+00:00","30000"
"3b23bf51-ad5e-4962-94f5-604a90e6adbf","2783a53c-d84a-4cb0-b17a-999943a335f5","28","Parcela 28","","","","2026-08-13T23:12:59.330882+00:00","30000"
"2949ffef-f0d0-4694-986d-1d3c741ef2be","2783a53c-d84a-4cb0-b17a-999943a335f5","32","Parcela 32","","","","2026-08-13T23:12:59.330882+00:00","30000"
"5da5ff4f-c27e-4403-8c38-758cf4d84259","2783a53c-d84a-4cb0-b17a-999943a335f5","33","Parcela 33","","","","2026-08-13T23:12:59.330882+00:00","30000"
"0cf272dc-95b7-4d12-993a-f9e5d86a3c70","2783a53c-d84a-4cb0-b17a-999943a335f5","34","Parcela 34","","","","2026-08-13T23:12:59.330882+00:00","312135"
"c38ca2f7-3b42-47ee-997c-bf9580786af9","2783a53c-d84a-4cb0-b17a-999943a335f5","38","Parcela 38","","","","2026-08-14T02:11:37.53358+00:00","1230000"
"8f107ea4-2415-415b-8fdb-bafd74b0b696","2783a53c-d84a-4cb0-b17a-999943a335f5","1","Parcela 1","","","","2026-08-13T23:12:59.330882+00:00","0"
"5feecbe7-6306-4b51-856b-01fb00b480ac","2783a53c-d84a-4cb0-b17a-999943a335f5","19","Parcela 19","","","","2026-08-13T23:12:59.330882+00:00","0"
"f9a95c60-1eb8-4275-871e-b219398b5867","2783a53c-d84a-4cb0-b17a-999943a335f5","35","Parcela 35","","","","2026-08-13T23:12:59.330882+00:00","1230000"
"6897c93e-adf1-45bd-b106-bcc38e147224","2783a53c-d84a-4cb0-b17a-999943a335f5","36","Parcela 36","","","","2026-08-13T23:12:59.330882+00:00","1230000"
"60f61830-9efb-468c-89e8-da7d8b40e0c7","2783a53c-d84a-4cb0-b17a-999943a335f5","8","Parcela 8","","","","2026-08-13T23:12:59.330882+00:00","0"
